epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,26.2988,0.94055,2.64565,3.16756,1.21459,0.048,0.60234,0.15053,0.10053,0.04596,0.59357,0.15052,0.10549,0.57108,1.33309,3.20494,0.98413,6.13989e-05,6.13989e-05,6.13989e-05
22,84.3895,0.65188,1.42425,1.67571,0.98249,0.06308,0.72807,0.36425,0.32077,0.06308,0.72807,0.36425,0.31167,0.60638,1.9393,2.74707,0.92481,0.000204511,0.000204511,0.000204511
6,31.7808,0.86518,2.60154,3.10932,1.20245,0.05264,0.61988,0.15021,0.11733,0.05471,0.62865,0.15749,0.11779,0.58658,1.28769,3.20052,0.9843,7.50984e-05,7.50984e-05,7.50984e-05
23,89.2681,0.53533,1.35334,1.57606,0.94854,0.06633,0.73684,0.35156,0.30604,0.06633,0.73684,0.36356,0.30101,0.62684,1.89135,2.73384,0.93373,0.000206988,0.000206988,0.000206988
7,36.6444,0.82642,2.07632,3.02624,1.12044,0.05789,0.6462,0.17726,0.13841,0.05789,0.6462,0.19446,0.14691,0.59488,1.29693,3.18381,0.98401,8.81376e-05,8.81376e-05,8.81376e-05
24,94.1154,0.55978,1.17839,1.45048,0.93699,0.06633,0.73684,0.35156,0.30604,0.06633,0.73684,0.36356,0.30101,0.62684,1.89135,2.73384,0.93373,0.000208805,0.000208805,0.000208805
8,41.5082,0.76373,1.82149,2.94558,1.1199,0.06471,0.68129,0.22275,0.17313,0.06668,0.69006,0.22536,0.18301,0.57598,1.26455,3.15819,0.96229,0.000100517,0.000100517,0.000100517
25,99.1627,0.6047,1.29282,1.5274,0.97779,0.06954,0.75439,0.37296,0.31316,0.07149,0.76316,0.38534,0.3103,0.65626,1.91184,2.73264,0.94937,0.000209962,0.000209962,0.000209962
9,46.3957,0.78004,1.85049,2.95222,1.04913,0.06946,0.7076,0.26939,0.2365,0.06946,0.7076,0.26864,0.24132,0.57802,1.33193,3.12962,0.95212,0.000112236,0.000112236,0.000112236
26,103.885,0.69407,1.34416,1.46869,0.96272,0.06954,0.75439,0.37296,0.31316,0.07149,0.76316,0.38534,0.3103,0.65626,1.91184,2.73264,0.94937,0.000210459,0.000210459,0.000210459
10,51.1621,0.73377,1.64753,2.54395,1.05592,0.07044,0.66959,0.30082,0.25906,0.06856,0.66082,0.29209,0.25961,0.57005,1.28982,3.09285,0.93335,0.000123295,0.000123295,0.000123295
27,108.746,0.59861,1.40712,1.50747,0.97761,0.06954,0.75439,0.40121,0.33833,0.07149,0.76316,0.41306,0.32133,0.66868,1.94573,2.71413,0.95318,0.000210295,0.000210295,0.000210295
11,56.0281,0.73183,1.88417,2.79421,1.05948,0.05828,0.70175,0.30379,0.27243,0.06025,0.71053,0.31016,0.27041,0.58884,1.36979,3.0578,0.9288,0.000133693,0.000133693,0.000133693
28,114.243,0.72138,1.26175,1.65927,0.99241,0.06954,0.75439,0.40121,0.33833,0.07149,0.76316,0.41306,0.32133,0.66868,1.94573,2.71413,0.95318,0.000209472,0.000209472,0.000209472
12,61.5277,0.71876,1.7353,2.59022,1.05378,0.05814,0.70175,0.32303,0.29722,0.0601,0.71053,0.33039,0.28742,0.62142,1.50386,3.01555,0.92571,0.000143432,0.000143432,0.000143432
29,119.549,0.61608,1.1444,1.48849,0.98615,0.29254,0.70175,0.40369,0.34357,0.29254,0.70175,0.40369,0.32607,0.69112,1.9144,2.69339,0.96117,0.000207988,0.000207988,0.000207988
13,66.4609,0.67766,1.65868,2.4286,0.95939,0.06918,0.75439,0.34492,0.31503,0.06725,0.74561,0.34567,0.29622,0.60572,1.55019,2.97332,0.91519,0.00015251,0.00015251,0.00015251
30,126.42,0.61601,1.20544,1.48967,0.95849,0.29254,0.70175,0.40369,0.34357,0.29254,0.70175,0.40369,0.32607,0.69112,1.9144,2.69339,0.96117,0.000205844,0.000205844,0.000205844
14,73.8448,0.76304,1.69061,2.60025,1.01643,0.07589,0.78947,0.36338,0.32686,0.0721,0.77193,0.36098,0.30929,0.59807,1.58084,2.93011,0.91109,0.000160929,0.000160929,0.000160929
